panel thk [in],5/16,3/8,3/8,7/16,15/32,15/32,19/32
nail depth [in] ,1-1/4,1-1/4,1-3/8,1-3/8,1-3/8,1-1/2,1-1/2
nail size,6d,6d,8d,8d,8d,10d,10d
edge nail| value,,,,,,,
6-[in]| vs-[plf],360,400,440,480,520,620,680
OSB-6[in]| Ga-[kip/in],13,11,17,15,13,22,19
PLY-6[in]| Ga-[kip/in],9.5,6.5,12,11,10,14,13
4-[in]| vs-[plf],540,600,640,700,760,920,1020
OSB-4[in]| Ga-[kip/in],18,15,25,22,19,30,26
PLY-4[in]| Ga-[kip/in],12,11,15,14,13,17,16
3-[in]| vs-[plf],700,780,820,900,960,1200,1330
OSB-3[in]| Ga-[kip/in],24,20,31,28,25,37,33
PLY-3[in]| Ga-[kip/in],14,13,17,17,15,19,18
2-[in]| vs-[plf],900,1020,1060,1170,1280,1540,1740
OSB-2[in]| Ga-[kip/in],37,32,45,42,39,52,48
PLY-2[in]| Ga [kip/in],18,17,20,21,20,23,22
